"SP500_lag2","IndexDiv_lag1","Loss"
-100,-100,58591.8302150115
-97.979797979798,-100,57452.4449728768
-95.959595959596,-100,56327.7018979418
-93.9393939393939,-100,55164.8743716243
-91.9191919191919,-100,53978.1436857411
-89.8989898989899,-100,52785.43341516
-87.8787878787879,-100,51590.6169699843
-85.8585858585859,-100,50408.1559158945
-83.8383838383838,-100,49221.662856054
-81.8181818181818,-100,47972.4018138874
-79.7979797979798,-100,46695.3277033938
-77.7777777777778,-100,45439.6845237809
-75.7575757575758,-100,44206.0628198915
-73.7373737373737,-100,42991.961563466
-71.7171717171717,-100,41774.5165036913
-69.6969696969697,-100,40568.8963380242
-67.6767676767677,-100,39414.3355198965
-65.6565656565656,-100,38263.0628172284
-63.6363636363636,-100,37132.2767648743
-61.6161616161616,-100,36012.103777918
-59.5959595959596,-100,34887.251890611
-57.5757575757576,-100,33764.7797250678
-55.5555555555556,-100,32646.4888251572
-53.5353535353535,-100,31522.5130088279
-51.5151515151515,-100,30417.2254908504
-49.4949494949495,-100,29337.3497203349
-47.4747474747475,-100,28256.6676338109
-45.4545454545455,-100,27170.7097326739
-43.4343434343434,-100,26098.8417826174
-41.4141414141414,-100,25049.2198964785
-39.3939393939394,-100,24003.4865607351
-37.3737373737374,-100,22971.3158346168
-35.3535353535353,-100,21939.8218062234
-33.3333333333333,-100,20918.5484987625
-31.3131313131313,-100,19911.3170029462
-29.2929292929293,-100,18915.5998025292
-27.2727272727273,-100,17958.2365444042
-25.2525252525252,-100,17032.5476131866
-23.2323232323232,-100,16122.2371743372
-21.2121212121212,-100,15227.4432640437
-19.1919191919192,-100,14340.590217357
-17.1717171717172,-100,13487.4429250822
-15.1515151515151,-100,12647.7160973224
-13.1313131313131,-100,11832.4803098534
-11.1111111111111,-100,11044.6751264166
-9.09090909090908,-100,10246.8012054336
-7.07070707070706,-100,9435.9109062055
-5.05050505050504,-100,8643.9372292098
-3.03030303030303,-100,7868.38217604315
-1.01010101010101,-100,7124.74192520644
1.01010101010101,-100,6650.05162104674
3.03030303030303,-100,5981.17719936581
5.05050505050505,-100,5352.26849679605
7.07070707070707,-100,4755.81569351989
9.09090909090909,-100,4198.51796523561
11.1111111111111,-100,3655.59380475875
13.1313131313131,-100,3147.67947454218
15.1515151515152,-100,2676.48433193937
17.1717171717172,-100,2236.72853505199
19.1919191919192,-100,1838.76916042079
21.2121212121212,-100,1481.51788754791
23.2323232323232,-100,1155.84183378588
25.2525252525253,-100,867.406518896159
27.2727272727273,-100,622.23354811552
29.2929292929293,-100,422.928933790902
31.3131313131313,-100,258.262789400994
33.3333333333333,-100,133.64600053636
35.3535353535354,-100,50.5509960706228
37.3737373737374,-100,7.1844666856796
39.3939393939394,-100,3.16999423722441
41.4141414141414,-100,41.3071330613305
43.4343434343434,-100,123.448643743471
45.4545454545455,-100,246.403221265227
47.4747474747475,-100,410.811179419134
49.4949494949495,-100,614.730977476408
51.5151515151515,-100,852.780904401662
53.5353535353536,-100,1129.9118555693
55.5555555555556,-100,1445.74981959766
57.5757575757576,-100,1797.73740808252
59.5959595959596,-100,2177.16653627774
61.6161616161616,-100,2595.97323190218
63.6363636363637,-100,3048.03733076163
65.6565656565657,-100,3536.43910803709
67.6767676767677,-100,4048.12157757792
69.6969696969697,-100,4570.63390345559
71.7171717171717,-100,5119.77128398213
73.7373737373738,-100,5701.89912476146
75.7575757575758,-100,6321.74263032967
77.7777777777778,-100,6985.26010354733
79.7979797979798,-100,7658.37754020866
81.8181818181818,-100,8365.3045845279
83.8383838383839,-100,9100.90027858255
85.8585858585859,-100,9868.444543965
87.8787878787879,-100,10662.6853631238
89.8989898989899,-100,11505.5515751456
91.919191919192,-100,12401.4887847458
93.9393939393939,-100,13325.5141110465
95.959595959596,-100,14294.1212099274
97.979797979798,-100,15299.7741981945
100,-100,16309.6536355165
-100,-97.979797979798,57346.3265565997
-97.979797979798,-97.979797979798,56233.1713533475
-95.959595959596,-97.979797979798,55117.1763037876
-93.9393939393939,-97.979797979798,54015.1112725486
-91.9191919191919,-97.979797979798,52873.6250336991
-89.8989898989899,-97.979797979798,51710.0972716551
-87.8787878787879,-97.979797979798,50541.9081417922
-85.8585858585859,-97.979797979798,49371.3868515145
-83.8383838383838,-97.979797979798,48215.1688119558
-81.8181818181818,-97.979797979798,47041.9463195585
-79.7979797979798,-97.979797979798,45812.3277162923
-77.7777777777778,-97.979797979798,44563.3021342355
-75.7575757575758,-97.979797979798,43337.8541085542
-73.7373737373737,-97.979797979798,42135.3480628979
-71.7171717171717,-97.979797979798,40942.7887799042
-69.6969696969697,-97.979797979798,39755.957485314
-67.6767676767677,-97.979797979798,38589.8070081952
-65.6565656565656,-97.979797979798,37460.0319400215
-63.6363636363636,-97.979797979798,36338.2972722325
-61.6161616161616,-97.979797979798,35233.9576584444
